x,y,z
1.07,0.0506,-2.24e-10
0.982,0.246,0
1.38,0.092,-0.01
1.03,0.291,0
0.958,0.0592,0
0.908,0.0152,-0.02
1.38,0.181,-0.01
1.1,0.0389,-0.01
1.09,0.263,2.24e-10
1.38,0.242,0
1.17,0.087,-0.01
1.88,0.289,0
1.66,0.1,0
1.34,0.203,-2.24e-10
1.29,0.225,-0.007
1.62,0.0939,-0.01
1.19,0.254,0
1,0.2,0
1.35,0.203,0
1.66,0.117,0
1.16,0.03,-0.02
0.984,0.204,0
1.08,0.386,0.005
2.18,0.122,0
1.02,0.096,0
0.905,0.0266,2.24e-10
1.44,0.003,-0.01
1.03,0.307,0
1.03,0.169,0.01
1.39,0.033,0
1.39,0.0351,0
0.922,0.37,-0.01
0.85,0.099,0.01
1.06,0.374,-0.02
1.02,0.15,0.02
0.918,0.294,0
0.886,0.0632,0
0.996,0.272,-0.01
0.931,0.0722,0.01
1.02,0.253,-0.02
1.13,0.273,0.04
0.964,0.12,0
0.986,0.202,2.24e-10
1.63,0.364,-0.01
1.31,0.308,0
1,0.243,-0.01
1,0.096,-0.01
1.64,0.103,2.24e-10
0.87,0.201,0
1.34,0.268,0
1.7,0.254,0.008
